"GAGE_ID","STANAME","DRAIN_SQKM","HUC02","LAT_GAGE","LNG_GAGE","STATE","CLASS","AGGECOREGION","HUC02_name"
"01011000","Allagash River near Allagash, Maine",3186.844,"01",47.06961111,-69.07954444,"ME","Non-ref","NorthEast","New England Region"
"01013500","Fish River near Fort Kent, Maine",2252.696,"01",47.23739444,-68.58264167,"ME","Ref","NorthEast","New England Region"
"01015800","Aroostook River near Masardis, Maine",2313.755,"01",46.52300278,-68.37176389,"ME","Non-ref","NorthEast","New England Region"
"01016500","MACHIAS RIVER NEAR ASHLAND, ME",847.7721,"01",46.62831111,-68.43479167,"ME","Non-ref","NorthEast","New England Region"
"01017000","Aroostook River at Washburn, Maine",4278.907,"01",46.77729444,-68.15719444,"ME","Non-ref","NorthEast","New England Region"
"01017060","Hardwood Brook below Glidden Brk nr Caribou, Maine",14.8644,"01",46.783611,-67.989167,"ME","Non-ref","NorthEast","New England Region"
"01017290","Little Madawaska River at Caribou, Maine",594.576,"01",46.88861,-67.945,"ME","Non-ref","NorthEast","New England Region"
"01017550","Williams Brook at Phair, Maine",10.0323,"01",46.628056,-67.953056,"ME","Ref","NorthEast","New England Region"
"01017960","Meduxnekeag R above S Br Medux. R nr Houlton, ME",226.2537,"01",46.105,-67.881389,"ME","Non-ref","NorthEast","New England Region"
"01018000","Meduxnekeag River near Houlton, Maine",450.4734,"01",46.10491667,-67.8666306,"ME","Non-ref","NorthEast","New England Region"
"01018009","Pearce Brook at Route 1 at Houlton, Maine",19.5192,"01",46.11528,-67.84028,"ME","Non-ref","NorthEast","New England Region"
"01019000","Grand Lake Stream at Grand Lake Stream, Maine",620.6238,"01",45.17252222,-67.7688,"ME","Non-ref","NorthEast","New England Region"
"01021200","DENNYS RIVER AT DENNYSVILLE, ME",242.8407,"01",44.90148889,-67.24761944,"ME","Non-ref","NorthEast","New England Region"
"01021470","Libby Brook near Northfield, Maine",16.1001,"01",44.800833,-67.725,"ME","Ref","NorthEast","New England Region"
"01021480","Old Stream near Wesley, Maine",76.73849,"01",44.936944,-67.736111,"ME","Ref","NorthEast","New England Region"
"01021500","Machias River at Whitneyville, Maine",1184.14,"01",44.7229944,-67.52047778,"ME","Non-ref","NorthEast","New England Region"
"01022260","Pleasant River near Epping, Maine",161.9937,"01",44.697778,-67.787222,"ME","Ref","NorthEast","New England Region"
"01022330","Narraguagus River at Deblois, Maine",264.8124,"01",44.740833,-68.013333,"ME","Ref","NorthEast","New England Region"
"01022500","Narraguagus River at Cherryfield, Maine",573.6006,"01",44.60797222,-67.93524167,"ME","Ref","NorthEast","New England Region"
"01023000","WEST BRANCH UNION RIVER AT AMHERST, ME",385.0974,"01",44.84023889,-68.37201667,"ME","Ref","NorthEast","New England Region"
"01027200","North Branch Penobscot River nr Pittston Farm, ME",582.0489,"01",45.935278,-69.993611,"ME","Ref","NorthEast","New England Region"
"01029200","Seboeis River near Shin Pond, Maine",444.9492,"01",46.143056,-68.633611,"ME","Ref","NorthEast","New England Region"
"01029500","East Branch Penobscot River at Grindstone, Maine",2816.295,"01",45.73026667,-68.5894861,"ME","Non-ref","NorthEast","New England Region"
"01030000","PENOBSCOT RIVER NEAR MATTAWAMKEAG, ME",8732.993,"01",45.56633333,-68.40366389,"ME","Non-ref","NorthEast","New England Region"
"01030500","Mattawamkeag River near Mattawamkeag, Maine",3676.172,"01",45.500975,-68.30595556,"ME","Ref","NorthEast","New England Region"
"01031300","Piscataquis River at Blanchard, Maine",304.3764,"01",45.267222,-69.583889,"ME","Ref","NorthEast","New England Region"
"01031450","Kingsbury Stream at Abbot Village, Maine",239.0922,"01",45.184444,-69.452222,"ME","Non-ref","NorthEast","New England Region"
"01031500","Piscataquis River near Dover-Foxcroft, Maine",769.0482,"01",45.17500833,-69.31469722,"ME","Ref","NorthEast","New England Region"
"01031510","Black Stream near Dover-Foxcroft, Maine",70.1046,"01",45.150278,-69.236389,"ME","Ref","NorthEast","New England Region"
"01033000","SEBEC RIVER AT SEBEC, ME",844.353,"01",45.27025556,-69.11173333,"ME","Non-ref","NorthEast","New England Region"
"01033500","PLEASANT RIVER NEAR MILO, ME",833.9643,"01",45.28257778,-69.00343889,"ME","Ref","NorthEast","New England Region"
"01034000","Piscataquis River at Medford, Maine",3011.229,"01",45.2606111,-68.86861389,"ME","Non-ref","NorthEast","New England Region"
"01034500","Penobscot River at West Enfield, Maine",17347.38,"01",45.236175,-68.65138333,"ME","Non-ref","NorthEast","New England Region"
"01035000","PASSADUMKEAG RIVER AT LOWELL, ME",779.4081,"01",45.18393611,-68.474425,"ME","Non-ref","NorthEast","New England Region"
"01036500","KENDUSKEAG STREAM NEAR KENDUSKEAG, ME",391.4991,"01",44.89714444,-68.88368333,"ME","Non-ref","NorthEast","New England Region"
"01037380","Ducktrap River near Lincolnville, Maine",39.0231,"01",44.329167,-69.060833,"ME","Ref","NorthEast","New England Region"
"01038000","Sheepscot River at North Whitefield, Maine",375.0849,"01",44.22277778,-69.59375833,"ME","Non-ref","NorthEast","New England Region"
"01041000","KENNEBEC RIVER AT MOOSEHEAD, ME",3293.256,"01",45.58485,-69.71696389,"ME","Non-ref","NorthEast","New England Region"
"01042500","Kennebec River at The Forks, Maine",4124.36,"01",45.33970833,-69.96205833,"ME","Non-ref","NorthEast","New England Region"
"01043500","DEAD RIVER NEAR DEAD RIVER, ME",1343.69,"01",45.2304583,-70.1998361,"ME","Non-ref","NorthEast","New England Region"
"01044550","Spencer Stream near Grand Falls, Maine",499.7628,"01",45.313611,-70.241667,"ME","Ref","NorthEast","New England Region"
"01045000","DEAD RIVER AT THE FORKS, ME",2254.018,"01",45.34905556,-69.99018889,"ME","Non-ref","NorthEast","New England Region"
"01046000","AUSTIN STREAM AT BINGHAM, ME",243.1584,"01",45.06518611,-69.88076667,"ME","Ref","NorthEast","New England Region"
"01046500","Kennebec River at Bingham, Maine",7056.902,"01",45.05205,-69.88550556,"ME","Non-ref","NorthEast","New England Region"
"01047000","Carrabassett River near North Anson, Maine",909.0972,"01",44.8692,-69.95510278,"ME","Ref","NorthEast","New England Region"
"01047150","Kennebec River near Madison, Maine",8433.685,"01",44.778889,-69.886944,"ME","Non-ref","NorthEast","New England Region"
"01047200","Sandy River near Madrid, Maine",65.646,"01",44.857778,-70.485278,"ME","Ref","NorthEast","New England Region"
"01048000","Sandy River near Mercer, Maine",1339.138,"01",44.70816944,-69.93759167,"ME","Non-ref","NorthEast","New England Region"
"01048220","East Branch Wesserunsett Stream near Athens, Maine",49.3893,"01",44.9475,-69.656944,"ME","Ref","NorthEast","New England Region"
"01049000","Sebasticook River near Pittsfield, Maine",1488.607,"01",44.71677778,-69.41381944,"ME","Non-ref","NorthEast","New England Region"
"01049265","KENNEBEC RIVER AT NORTH SIDNEY, MAINE",14014.81,"01",44.47233889,-69.68398889,"ME","Non-ref","NorthEast","New England Region"
"01049500","Cobbosseecontee Stream at Gardiner, Maine",561.3147,"01",44.22909722,-69.77804722,"ME","Non-ref","NorthEast","New England Region"
"01052500","Diamond River near Wentworth Location, NH",383.8234,"01",44.87739444,-71.05749444,"NH","Ref","NorthEast","New England Region"
"01053500","Androscoggin River at Errol, NH",2701.495,"01",44.78255833,-71.12868611,"NH","Non-ref","NorthEast","New England Region"
"01053600","Androscoggin River below Bog Brook at Cambridge NH",3047.351,"01",44.666111,-71.181389,"NH","Non-ref","NorthEast","New England Region"
"01054000","Androscoggin River near Gorham, NH",3527.626,"01",44.43579167,-71.19017778,"NH","Non-ref","NorthEast","New England Region"
"01054200","Wild River at Gilead, Maine",180.981,"01",44.39044444,-70.97964444,"ME","Ref","NorthEast","New England Region"
"01054300","Ellis River at South Andover, Maine",337.7295,"01",44.59324167,-70.7330167,"ME","Ref","NorthEast","New England Region"
"01054500","Androscoggin River at Rumford, Maine",5349.329,"01",44.55181389,-70.54406667,"ME","Non-ref","NorthEast","New England Region"
"01055000","Swift River near Roxbury, Maine",250.641,"01",44.64274722,-70.58878333,"ME","Ref","NorthEast","New England Region"
